BLK,PLOT,Na,POSITION,SPECIES,Tillers_1,Tillers_2,Tillers_3,Tillers_4,Tillers_5,Stolons_1,Stolons_2,Stolons_3,Stolons_4,Stolons_5,Ht_1,Ht_2,Ht_3,Ht_4,Ht_5,FlrHt_2,FlrHt_3,FlrHt_4,FlrHt_5,Dead_1,Dead_2,Dead_3,Dead_4,Dead_5
1,1,n,1,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
1,1,n,2,spospi,18,22,18,27,34,,,,4,6,6.3,6,11.5,13.5,8.6,,12.1,22.2,30,,,,,
1,1,n,3,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
1,1,n,4,spocon,1,1,1,2,3,,,,,,6.1,6.1,6.1,9.1,26.5,,,,,,,,,
1,1,n,5,spoioc,11,11,10,9,11,,,,,2,7.4,12.9,6.4,9.6,9.5,15.2,23,,21.5,,,,,
1,1,n,6,sposta,10,12,11,8,7,,,,,,4.5,5.3,6.2,9.2,10.5,,7.8,14.7,,,,,,
1,1,n,7,spopyr,2,3,2,2,3,,,,,,51.2,38.4,22.2,29.5,32,,,,,,,,,
1,1,n,8,spofim,9,9,7,11,11,,,,,1,19,20.2,22,20.2,25,34.3,50.5,58.6,63.5,,,,,
1,1,y,1,spopyr,2,8,7,3,5,,,,,,2.6,13.3,17.2,22.2,28,,,,,,,,,
1,1,y,2,spospi,30,34,12,22,23,4,6,6,6,6,4.4,6.1,10,11.3,11.5,,9.7,19.8,27.5,,,,,
1,1,y,3,spocon,4,4,4,6,6,,,,,,23,16.1,23.2,29.3,27.5,,,,,,,,,
1,1,y,4,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
1,1,y,5,spoioc,6,4,4,3,5,,,,,1,6.4,10.9,16.5,31,15.5,,23.7,,24,,,,,
1,1,y,6,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
1,1,y,7,sposta,6,10,8,6,8,,,,,,0.8,1.4,2.3,3,3.5,,,,,,,,,
1,1,y,8,spofim,5,7,7,7,8,,,,,,12.9,15.5,19,19.2,22.8,,,,,,,,,
1,2,n,1,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
1,2,n,2,spospi,31,20,12,24,47,2,2,2,5,10,5.6,8,7.8,25.2,14,,16.5,,30,,,,,
1,2,n,3,spofim,7,7,6,7,8,,,,,,4.7,6.5,7.7,9.1,23,,,,,,,,,
1,2,n,4,sposta,36,40,11,14,12,,,,,,2.5,5.7,7.3,7.5,9,,,,,,,,,
1,2,n,5,spoioc,3,3,4,4,9,,,,,2,1.9,3.9,10,6,10,,,22.5,27,,,,,
1,2,n,6,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
1,2,n,7,spocon,1,1,1,2,3,,,,,,6.4,6.4,6.4,10.3,13,,,,,,,,,
1,2,n,8,spopyr,8,9,11,12,20,,,,,1,11,16.9,23,26.1,50,,,,38.5,,,,,
1,2,y,1,spofim,2,11,10,12,10,,,,,3,4.8,11.3,25.9,33,41,,22,41.1,67,,,,,
1,2,y,2,spospi,19,26,20,25,46,,,,5,6,5,7,11.3,23.2,15,,16.3,,29,,,,,
1,2,y,3,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
1,2,y,4,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
1,2,y,5,spocon,3,3,3,4,5,,,,,,6.2,6.2,6.2,8.4,10,,,,,,,,,
1,2,y,6,spopyr,1,1,1,1,1,,,,,,6.1,9.1,8.8,10,15,,,,,,,,,
1,2,y,7,sposta,8,15,9,12,12,,,,,,1.7,3.8,6,6.9,8,,,,,,,,,
1,2,y,8,spoioc,3,6,6,6,10,,,,,1,2.6,4.1,4.8,6.3,6.5,,,,16,,,,,
1,3,n,1,sposta,6,5,6,6,6,,,,,1,4.4,6.2,4.5,4,6,8.2,6.3,7.5,7,,,,,
1,3,n,2,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
1,3,n,3,spopyr,11,14,14,16,21,,,,,,5.3,7.2,10.9,14.5,13,,,,,,,,,
1,3,n,4,spocon,4,4,9,9,9,,,,,,10.1,10.1,16.3,23.8,28,,,,,,,,,
1,3,n,5,spofim,5,5,4,5,5,,,,,,6.7,8.9,10.6,10.9,12,,,,,,,,,
1,3,n,6,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
1,3,n,7,spoioc,6,8,9,11,16,,,,,3,4,6.1,8.5,10.3,16,,,17.8,40,,,,,
1,3,n,8,spospi,4,4,4,4,4,,,,,,5.2,4.5,8.4,9.6,12.5,,,,,,,,,
1,3,y,1,spopyr,8,6,5,6,5,,,,,,7.9,14.1,22.3,28.6,29,,,,,,,,,
1,3,y,2,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
1,3,y,3,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
1,3,y,4,spospi,5,5,6,5,6,,,,,,4.5,3.4,4.5,6.8,9,,,,,,,,,
1,3,y,5,spocon,4,4,4,7,7,,,,,,11.1,11.1,11.1,17.2,25,,,,,,,,,
1,3,y,6,spofim,7,9,14,13,10,,,,,,7.7,13.2,16.1,16.5,16,,,,,,,,,
1,3,y,7,sposta,11,14,10,11,12,,,,,1,2.6,4,5.3,5.2,8,,7,8.1,7,,,,,
1,3,y,8,spoioc,1,3,2,2,2,,,,,,3.12,3.5,10.5,13,18,,,,,,,,,
1,4,n,1,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
1,4,n,2,spofim,3,3,3,3,2,,,,,,4.5,6.5,8,9.5,9,,,,,,,,,
1,4,n,3,sposta,9,7,7,8,6,,,,,,1.3,3.1,4,4.6,5.5,,,,,,,,,
1,4,n,4,spospi,28,13,10,14,23,3,3,2,3,1,4.4,5.2,6.9,7.5,12,,,,,,,,,
1,4,n,5,spoioc,9,10,7,8,8,,,,,,3.2,7.1,10.1,10.5,11,,,,,,,,,
1,4,n,6,spopyr,14,17,14,14,15,,,,,,9,15.2,17.2,11.8,18,,,,,,,,,
1,4,n,7,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
1,4,n,8,spocon,3,3,3,4,2,,,,,,4,4,4,9.1,14,,,,,,,,,
1,4,y,1,sposta,9,9,8,9,8,,,,,,1.8,3,3.9,6,6.8,,,,,,,,,
1,4,y,2,spoioc,17,8,3,1,,,,,,,3.4,2.5,1.6,1.8,,,,,,,,,,1
1,4,y,3,spofim,3,3,3,3,3,,,,,,4.2,9.3,10.9,13.2,9.4,,,,,,,,,
1,4,y,4,spocon,9,5,7,6,7,,,,,,19.2,23.2,29,33.5,38.6,,,,,,,,,
1,4,y,5,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
1,4,y,6,spopyr,5,8,8,8,8,,,,,,3.1,5.3,10.5,10,15.2,,,,,,,,,
1,4,y,7,spospi,6,6,8,5,5,,,,,,3.9,5.3,9.5,15.2,12,,,,,,,,,
1,4,y,8,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
1,5,n,1,sposta,5,5,4,5,4,,,,,,2,6,2.5,3.2,4,,,,,,,,,
1,5,n,2,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
1,5,n,3,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
1,5,n,4,spopyr,14,12,19,21,30,,,,,1,16.5,16.1,20,7,38,,,,37,,,,,
1,5,n,5,spoioc,5,4,4,4,5,,,,,,6.6,9.5,13.2,25,16,,,,,,,,,
1,5,n,6,spocon,6,4,5,4,5,,,,,,3.5,11.6,16.5,16.2,25,,,,,,,,,
1,5,n,7,spofim,4,4,4,3,4,,,,,,21.8,21.4,20.9,17.6,18,,,,,,,,,
1,5,n,8,spospi,14,13,13,16,49,,,,2,4,14.6,18.5,20,21,21,24.3,23,29.6,28,,,,,
1,5,y,1,spofim,3,3,3,3,2,,,,,,15.2,14.8,17.3,18.5,16,,,,,,,,,
1,5,y,2,spoioc,5,5,6,7,15,1,1,1,1,2,8.2,9.1,10.2,15.3,13,,,,30,,,,,
1,5,y,3,spocon,3,3,6,8,7,,,,,,7.5,7.5,14,17.8,24,,,,,,,,,
1,5,y,4,sposta,16,16,14,21,29,,,,,,2.5,4,7.2,8.1,8,,,,,,,,,
1,5,y,5,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
1,5,y,6,spospi,3,2,2,1,2,,,,,,5,4.4,7.3,8.9,13,,,,,,,,,
1,5,y,7,spopyr,3,6,6,7,11,,,,,,31.9,34.4,21.5,23.3,30,42.5,63.5,,,,,,,
1,5,y,8,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
1,6,n,1,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
1,6,n,2,spopyr,11,9,10,12,10,,,,,,5.1,12.4,17,21.6,21,,,,,,,,,
1,6,n,3,spoioc,14,14,14,16,12,,,,,,12.9,13.9,14.5,22.2,26,,,,,,,,,
1,6,n,4,spospi,4,3,3,9,9,,,1,2,2,7.4,10.5,12,22,14,,,,,,,,,
1,6,n,5,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
1,6,n,6,sposta,5,4,5,5,5,,,,,,1.4,3.8,4.5,6.3,5,,,,,,,,,
1,6,n,7,spocon,1,1,6,5,5,,,,,,3.1,3.1,6.8,9.2,2,,,,,,,,,
1,6,n,8,spofim,10,10,10,9,8,,,,,,6.3,11.7,17.2,15.3,24,,,,,,,,,
1,6,y,1,spocon,3,3,3,3,6,,,,,,7.6,7.6,7.6,7,10,,,,,,,,,
1,6,y,2,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
1,6,y,3,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
1,6,y,4,spoioc,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
1,6,y,5,spopyr,4,9,9,9,10,,,,,,2.1,5.6,8.8,9.5,14,,,,,,,,,
1,6,y,6,spofim,12,8,14,14,14,,,,,,5.4,13.2,19.3,21.5,26,,,,,,,,,
1,6,y,7,sposta,4,5,7,7,7,,,,,,3.6,3.8,4,7.2,7,,,,,,,,,
1,6,y,8,spospi,4,3,3,9,16,,,,1,4,2.6,6,9.5,9.3,11,,,,,,,,,
1,7,n,1,spopyr,3,5,4,5,4,,,,,,4.7,6.4,9.5,13,10,,,,,,,,,
1,7,n,2,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
1,7,n,3,sposta,9,11,11,12,8,,,,,,2.3,3.5,6.6,5,6,,,,,,,,,
1,7,n,4,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
1,7,n,5,spocon,1,1,1,1,1,,,,,,7.2,7.2,7.2,12.1,12,,,,,,,,,
1,7,n,6,spofim,2,1,1,1,,,,,,,2.6,6,6.1,3.2,6,,,,,,,,,
1,7,n,7,spospi,3,2,2,2,1,,,,,,2.1,3.3,4.5,4.5,5.5,,,,,,,,,
1,7,n,8,spoioc,8,8,8,8,11,,,,,,10.8,11.7,16.7,16.1,24,,,,,,,,,
1,7,y,1,spofim,8,6,9,8,8,,,,,,5.1,6.1,8,7.5,7.2,,,,,,,,,
