BLOCK,PLOT,SUB,FENCE,SPECIES,FLRS,TILLERS,HT,DEAD
1,1,1,0,fim,0,24,11.5,0
1,1,1,0,fim,0,27,7,0
1,1,1,0,fim,0,31,5.8,0
1,1,1,0,pyr,1,27,7.5,0
1,1,1,0,pyr,1,32,3.8,0
1,1,1,0,pyr,0,16,8,0
1,1,1,0,ken,0,32,3,0
1,1,1,0,ken,0,30,3.7,0
1,1,1,0,ken,0,18,1.5,0
1,1,1,0,pel,0,33,3,0
1,1,1,0,pel,0,15,1.7,0
1,1,1,0,pel,0,26,2.3,0
1,1,1,0,ioc,1,35,11.7,0
1,1,1,0,ioc,1,31,10.5,0
1,1,1,0,ioc,0,42,6,0
1,1,1,0,spi,0,9,5.5,0
1,1,1,0,spi,0,16,4.6,0
1,1,1,0,spi,0,12,3.5,0
1,1,2,0,pel,0,45,2,0
1,1,2,0,pel,0,26,3.2,0
1,1,2,0,pel,0,38,4.5,0
1,1,2,0,fim,2,24,21,0
1,1,2,0,fim,1,13,18,0
1,1,2,0,fim,1,11,20,0
1,1,2,0,ioc,3,41,12,0
1,1,2,0,ioc,1,48,10.5,0
1,1,2,0,ioc,2,37,14,0
1,1,2,0,spi,0,26,4,0
1,1,2,0,spi,0,18,3.7,0
1,1,2,0,spi,0,20,3,0
1,1,2,0,ken,0,16,3.5,0
1,1,2,0,ken,0,9,2.7,0
1,1,2,0,ken,0,11,2.5,0
1,1,2,0,pyr,2,14,47,0
1,1,2,0,pyr,2,18,28,0
1,1,2,0,pyr,1,15,20,0
1,2,3,0,fim,0,12,12,0
1,2,3,0,fim,0,16,8.6,0
1,2,3,0,fim,0,13,13.7,0
1,2,3,0,pyr,0,15,16,0
1,2,3,0,pyr,0,8,24.5,0
1,2,3,0,pyr,0,10,22,0
1,2,3,0,pel,0,17,8.5,0
1,2,3,0,pel,0,11,9,0
1,2,3,0,pel,0,9,9.5,0
1,2,3,0,spi,0,8,6,0
1,2,3,0,spi,0,12,4.2,0
1,2,3,0,spi,0,16,4,0
1,2,3,0,ioc,4,64,14.5,0
1,2,3,0,ioc,1,29,12,0
1,2,3,0,ioc,,,,1
1,2,3,0,ken,0,11,4.7,0
1,2,3,0,ken,0,15,6,0
1,2,3,0,ken,0,10,3.5,0
1,2,4,0,ioc,0,18,6.4,0
1,2,4,0,ioc,0,25,8.5,0
1,2,4,0,ioc,2,21,23,0
1,2,4,0,pel,0,16,12.5,0
1,2,4,0,pel,0,24,10,0
1,2,4,0,pel,0,8,8.4,0
1,2,4,0,pyr,1,14,10,0
1,2,4,0,pyr,0,11,14.5,0
1,2,4,0,pyr,1,10,9.5,0
1,2,4,0,spi,0,19,4,0
1,2,4,0,spi,,,,1
1,2,4,0,spi,0,13,5.5,0
1,2,4,0,fim,0,9,10,0
1,2,4,0,fim,0,12,12.2,0
1,2,4,0,fim,0,16,11,0
1,2,4,0,ken,0,20,6.5,0
1,2,4,0,ken,0,11,5,0
1,2,4,0,ken,0,15,4.3,0
1,1,1,1,ken,0,6,3,0
1,1,1,1,ken,0,9,2.2,0
1,1,1,1,ken,0,12,4.3,0
1,1,1,1,ioc,0,16,5.5,0
1,1,1,1,ioc,0,9,6.2,0
1,1,1,1,ioc,0,11,6,0
1,1,1,1,fim,0,7,10,0
1,1,1,1,fim,0,4,8.5,0
1,1,1,1,fim,0,4,4.2,0
1,1,1,1,spi,0,13,5.5,0
1,1,1,1,spi,0,17,7.4,0
1,1,1,1,spi,0,8,6,0
1,1,1,1,pel,,,,1
1,1,1,1,pel,,,,1
1,1,1,1,pel,,,,1
1,1,1,1,pyr,0,3,5.5,0
1,1,1,1,pyr,0,1,4.3,0
1,1,1,1,pyr,0,4,2.5,0
1,1,2,1,pel,0,4,3,0
1,1,2,1,pel,0,15,2.5,0
1,1,2,1,pel,0,6,2,0
1,1,2,1,ioc,0,32,6.5,0
1,1,2,1,ioc,0,41,8.4,0
1,1,2,1,ioc,0,13,6,0
